License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
403-01775,HERBAL HEALING LLC,Herbal Healing,Medical Marijuana Cultivation,5025 Galley Road,Colorado Springs,CO,80915,2024-09-03,38.8458214,-104.7346189
403-01268,HG LTD,Higher Grade,Medical Marijuana Cultivation,5010 North Paris Street,Denver,CO,80239,2024-09-03,39.788545,-104.84882
403-01055,HIGH COLLECTIVE LLC,,Medical Marijuana Cultivation,4900 North Colorado Boulevard,Denver,CO,80216,2024-09-03,39.786744,-104.94063
403-01762,HIGH COUNTRY INFUSIONS LLC,High Country Infusions,Medical Marijuana Cultivation,1785 North Academy Boulevard Suite 180,Colorado Springs,CO,80909,2024-09-03,38.8588931,-104.7568094
403-01391,HIGH MOUNTAIN MEDZ LLC,Levity Wellness,Medical Marijuana Cultivation,3000 County Road 103,Florence,CO,81226,2024-09-03,38.304449,-105.10547
403-01609,HIGH RYSE LLC,High Ryse,Medical Marijuana Cultivation,1001 North Tejon Street,Denver,CO,80204,2024-09-03,39.732438,-105.011299
403-01596,HOBBY FARMS LLC,A Cut Above,Medical Marijuana Cultivation,817 Wooten Road,Colorado Springs,CO,80915,2024-09-03,38.8446075,-104.7382852
403-01120,HOG LEG FARM LLC,,Medical Marijuana Cultivation,803 South Jason Street,Denver,CO,80223,2024-09-03,39.7022391,-104.9992805
403-00070,HOLLISTER & BLACKSMITH INC,Naturaleaf,Medical Marijuana Cultivation,2611 Durango Drive,Colorado Springs,CO,80910,2024-09-03,38.7945277,-104.7732805
403-01870,HONEY LEAF INC,Honey Leaf,Medical Marijuana Cultivation,3524 North Tejon Street,Colorado Springs,CO,80907,2024-09-03,38.8808175,-104.8210306
403-01570,I & S LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Cultivation,1235 North Umatilla Street,Denver,CO,80204,2024-09-03,39.735853,-105.012428
403-01558,IGADI LTD,IgadI,Medical Marijuana Cultivation,"72399 US Highway 40, Unit C",Tabernash,CO,80478,2024-09-03,39.9967151,-105.88714
403-02370,INDICO COLORADO INC,,Medical Marijuana Cultivation,20637 Highway 96,Sugar City,CO,81076,2024-09-03,38.228508,-103.692436
403-00361,ISM2 INC,Green Dot Labs,Medical Marijuana Cultivation,12555 East 37th Avenue,Denver,CO,80239,2024-09-03,39.7678225,-104.8411724
403-01761,J&P INVESTMENTS LLC,Newt Brothers Artisanal,Medical Marijuana Cultivation,3850 East 48th Avenue,Denver,CO,80216,2024-09-03,39.7836948,-104.9423328
403-00065,JCSC LLC,Cold Cure Labs,Medical Marijuana Cultivation,"4237 North Josephine Street, Units 102 & 103",Denver,CO,80216,2024-09-03,39.775962,-104.95832
403-00563,JET BLACK ENTERPRISES LLC,Leiffa,Medical Marijuana Cultivation,5775 East 39th Avenue,Denver,CO,80207,2024-09-03,39.7711411,-104.9206237
403-00013,JGB VENTURES LLC,DANK,Medical Marijuana Cultivation,3835 North Elm Street Unit C,Denver,CO,80207,2024-09-03,39.769926,-104.929405
403-01605,JKC MANUFACTURING LLC,Stratos,Medical Marijuana Cultivation,73 North Research Drive,Pueblo West,CO,81007,2024-09-03,38.337742,-104.733501
403-01821,JMC ENTERPRISES INC,Fremont County Cannabis,Medical Marijuana Cultivation,1800 County Road 835C,Florence,CO,81226,2024-09-03,38.412939,-105.17254
403-01672,JOINT SUCCESS LLC,Indico Med,Medical Marijuana Cultivation,2222 West Colorado Avenue,Colorado Springs,CO,80904,2024-09-03,38.8453082,-104.8589805
403-00493,JOIS LLC,SILVER STEM FINE CANNABIS,Medical Marijuana Cultivation,2731 West Short Place,Denver,CO,80204,2024-09-03,39.7229805,-105.021385
403-01486,JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,Medical Marijuana Cultivation,1075 South Jason Street,Denver,CO,80223,2024-09-03,39.697252,-104.999271
403-02288,K&P ENTERPRISE LLC,Atomic Concentrates,Medical Marijuana Cultivation,3601 Freedom Road,Trinidad,CO,81082,2024-09-03,37.1888012,-104.4975284
403-01786,KANOPYA HOLDINGS LLC,Kanopya Springs,Medical Marijuana Cultivation,2545 - 2547 Platte Place,Colorado Springs,CO,80909,2024-09-03,38.8361669,-104.7856209
403-01041,KARMACEUTICALS LLC,Karmaceuticals,Medical Marijuana Cultivation,1355 South Inca Street,Denver,CO,80223,2024-09-03,39.692016,-104.9981326
403-01040,KARMACEUTICALS LLC,Karmaceuticals,Medical Marijuana Cultivation,4 South Santa Fe Drive,Denver,CO,80223,2024-09-03,39.7164416,-104.9984687
403-00682,KAZIMER LLC,Rocky Mountain High,Medical Marijuana Cultivation,1233 West Alameda Avenue,Denver,CO,80223,2024-09-03,39.7112625,-105.0022635
403-01428,KEVCO SERVICES INC,,Medical Marijuana Cultivation,3214 North Nevada Avenue,Colorado Springs,CO,80907,2024-09-03,38.877785,-104.8183985
403-00079,KEVCO SERVICES INC,Generations,Medical Marijuana Cultivation,3228 North Nevada Avenue,Colorado Springs,CO,80907,2024-09-03,38.8780437,-104.8183836
403-01294,KIND CARE OF COLORADO LLC,Kind Care of Colorado,Medical Marijuana Cultivation,6629 South College Avenue,Fort Collins,CO,80525,2024-09-03,40.494268,-105.0774983
403-01358,KIND LOVE LLC,,Medical Marijuana Cultivation,4890 North Joliet Street,Denver,CO,80239,2024-09-03,39.786402,-104.861266
403-01272,KIND LOVE MJH LLC,Kind Love Express,Medical Marijuana Cultivation,3899 North Quentin Street,Denver,CO,80239,2024-09-03,39.771063,-104.844754
403-01817,LBW CONSULTING GROUP LLC,Seed & Smith,Medical Marijuana Cultivation,5070 North Oakland Street,Denver,CO,80239,2024-09-03,39.78977,-104.850593
