Name,Street,City,State,Zip,Type,Latitude,Longitude
Golden Meds,1410 S Santa Fe Dr,Denver,CO,80223,Undisclosed,39.6910755,-104.9922031
Golden Meds,2636 Youngfield St,Lakewood,CO,80215,Undisclosed,39.7547316,-105.1420901
Golden Nugget Dispensary,127 Main St Central,Central City,CO,80427,Undisclosed,39.800053,-105.5127805
Good Chemistry,16840 E Iliff Ave,Aurora,CO,80013,Undisclosed,39.6735841,-104.7918423
Good Chemistry,330 E Colfax Ave,Denver,CO,80203,Undisclosed,39.7398823,-104.982565
Good Chemistry,1724 S Broadway,Denver,CO,80210,Undisclosed,39.6852697,-104.9874298
Good Chemistry,2563 15th St #103,Denver,CO,80211,Undisclosed,39.7582671,-105.0113172
Good Meds,8420 W Colfax Ave,Lakewood,CO,80215,Medical,39.7403904,-105.0910718
Good Meds,3431 S Federal Blvd,Englewood,CO,80110,Medical,39.6270464,-105.0254492
Good Weed,601 E Las Vegas St,Colorado Springs,CO,80903,Medical,38.817232,-104.815342
Grant Pharms,1591 E Cheyenne Mountain Blvd,Colorado Springs,CO,80906,Medical,38.7922488,-104.7994196
Green Cross Caregivers,1842 S Parker Rd,Denver,CO,80231,Medical,39.6834727,-104.880655
Green Cross of Cherry Creek,3400 S Oneida Way,Denver,CO,80224,Undisclosed,39.6538807,-104.9083889
Green Depot,2020 S Broadway,Denver,CO,80210,Undisclosed,39.6797313,-104.9870592
Green Dragon,409 E Hyman Ave,Aspen,CO,81611,Undisclosed,39.188968,-106.8196143
Green Dragon,15225 E Sixth Ave,Aurora,CO,80011,Undisclosed,39.72554,-104.81452
Green Dragon,19151 E Quincy Ave,Aurora,CO,80015,Undisclosed,39.6385915,-104.7647885
Green Dragon,1750 30th Street Unit 7,Boulder,CO,80301,Undisclosed,40.0174738,-105.2538668
Green Dragon,1795 Airport Rd Unit A3,Breckenridge,CO,80424,Undisclosed,39.5073685,-106.051869
Green Dragon,930 W Byers Pl,Denver,CO,80223,Undisclosed,39.7121182,-104.9978713
Green Dragon,5130 W Colfax Ave,Denver,CO,80220,Undisclosed,39.740224,-105.0524819
Green Dragon,310 St Paul St,Denver,CO,80206,Undisclosed,39.7213419,-104.9508182
Green Dragon,4103 Sheridan Blvd,Denver,CO,80212,Undisclosed,39.7730769,-105.053348
Green Dragon,1724 S Broadway,Denver,CO,80210,Undisclosed,39.6852697,-104.9874298
Green Dragon,1250 Grant St,Denver,CO,80203,Undisclosed,39.7361068,-104.9829979
Green Dragon,2467 Sheridan Blvd,Edgewater,CO,80214,Undisclosed,39.752343,-105.0537001
Green Dragon,1420 Devereux Rd,Glenwood Springs,CO,81601,Undisclosed,39.5581555,-107.3433393
Green Dragon,2922 S Glen Ave,Glenwood Springs,CO,81601,Undisclosed,39.522248,-107.321649
Green Dragon,119 W Colorado Ave,Telluride,CO,81435,Undisclosed,37.9372902,-107.8110091
Green Dragon,5823 E 128th Avenue,Thornton,CO,80602,Undisclosed,39.9284705,-104.9204227
Green Farms Medical Dispensary,3629 Galley Rd,Colorado Springs,CO,80909,Undisclosed,38.8471602,-104.7607045
Greenfields Dispensary,2038 S Navajo St,Denver,CO,80223,Undisclosed,39.6797382,-105.0039884
Greenfields Dispensary,1798 W Mississippi Ave,Denver,CO,80223,Undisclosed,39.6964026,-105.008329
Green Grass Dispensary,440 Lawrence St,Black Hawk,CO,80422,Undisclosed,39.800638,-105.505333
The Greenery,208 Parker Ave Unit E,Durango,CO,81303,Recreational,37.2348502,-107.8715943
Green Heart,19005 E Quincy Ave,Aurora,CO,80015,Undisclosed,39.6389644,-104.7664399
The Green House,730 S Camino Del Rio,Durango,CO,81301,Undisclosed,37.244357,-107.872261
The Green House,270 Pagosa St,Pagosa Springs,CO,81147,Recreational,37.2688733,-107.0063284
The Green Joint,720 E Durant Ave,Aspen,CO,81611,Recreational,39.1867889,-106.8159137
The Green Joint,1030 Grand Avenue Suite B,Glenwood Springs,CO,81602,Undisclosed,39.5429485,-107.3245855
Green Man Cannabis,7289 E Hampden Ave,Denver,CO,80224,Undisclosed,39.653196,-104.9036547
Green Man Cannabis,1355 Santa Fe Dr,Denver,CO,80204,Undisclosed,39.7376097,-104.999169
Green Sativa,8411 Pecos St Unit H,Federal Heights,CO,80246,Undisclosed,39.8511192,-105.005862
The Green Solution,14301 E Colfax Ave,Aurora,CO,80011,Undisclosed,39.740769,-104.8211076
The Green Solution,106 S Mill St,Aspen,CO,81611,Undisclosed,39.1905234,-106.8191522
The Green Solution,10195 Montview Blvd,Aurora,CO,80010,Undisclosed,39.7477214,-104.869564
The Green Solution,3179 S Peoria Ct,Aurora,CO,80014,Undisclosed,39.6588024,-104.8482665
The Green Solution,350 S Potomac St,Aurora,CO,80012,Undisclosed,39.710117,-104.827872
The Green Solution,19370 E Quincy Ave,Aurora,CO,80015,Undisclosed,39.6379956,-104.7614965
The Green Solution,231 Gregory St,Black Hawk,CO,80422,Undisclosed,39.8014519,-105.4953349
The Green Solution,2601 W Alameda Ave,Denver,CO,80219,Undisclosed,39.7114197,-105.0182049
The Green Solution,6881 Federal Blvd,Denver,CO,80221,Undisclosed,39.7882892,-105.0252004
The Green Solution,4400 Grape St,Denver,CO,80216,Undisclosed,39.7774865,-104.9245339
The Green Solution,4151 E Kentucky Ave,Denver,CO,80246,Undisclosed,39.7002049,-104.9453991
The Green Solution,1995 Wewatta St,Denver,CO,80202,Undisclosed,39.7566395,-104.997935
The Green Solution,6020 W 20th Ave,Edgewater,CO,80214,Undisclosed,39.7475423,-105.0629538
The Green Solution,470 Malley Dr,Northglenn,CO,80233,Undisclosed,39.9029318,-104.9803449
The Green Solution,645 Water St,Silver Plume,CO,80476,Undisclosed,39.6950896,-105.7267467
The Green Solution,409 N Commercial St,Trinidad,CO,81082,Undisclosed,37.1713193,-104.5069508
Green Tree Medicinals,1090 N 2nd St,Berthoud,CO,80513,Undisclosed,40.3124028,-105.0760007
Green Tree Medicinals,5565 Arapahoe Ave Ste G,Boulder,CO,80303,Undisclosed,40.0151539,-105.2236498
Green Tree Medicinals,12626 N 107th St,Longmont,CO,80504,Undisclosed,40.208966,-105.102453
Green Tree Medicinals,10575 Melody Dr Unit 102,Northglenn,CO,80234,Undisclosed,39.8875738,-104.9933714
Green World Express,5233 US HWY 285,Antonito,CO,81120,Recreational,37.0667931,-106.0129012
The Happy Camper,1043 N River Rd,Palisade,CO,81526,Recreational,39.1149569,-108.3274999
Harvest House,211 Peak to Peak Hwy,Nederland,CO,80466,Undisclosed,39.9586788,-105.5110789
Hashish Hut,827 N Main St,Gunnison,CO,81230,Recreational,38.5529023,-106.9274743
Hashish Hut,356 E Pagosa Street,Pagosa Springs,CO,81147,Undisclosed,37.268269,-107.009393
Headmaster Medical Marijuana,319 Bonfoy Ave,Colorado Springs,CO,80909,Undisclosed,38.8379612,-104.7925865
Healing Canna,3692 E Bijou St,Colorado Springs,CO,80909,Medical,38.835838,-104.7613
Healing House,2383 S Downing St,Denver,CO,80210,Recreational,39.6733939,-104.973691
The Healing Treee,3995 E 50th Ave,Denver,CO,80216,Undisclosed,39.7873273,-104.9407712
The Health Center,537 Canyon Blvd,Boulder,CO,80302,Recreational,40.015472,-105.2880107
The Health Center,2777 S Colorado Blvd,Denver,CO,80222,Undisclosed,39.6658439,-104.9410226
The Health Center,1736 Downing St,Denver,CO,80216,Undisclosed,39.7440776,-104.9730732
Helping Hands Cannabis,1021 Pearl St Boulder,Boulder,CO,80302,Undisclosed,40.0175992,-105.282086
Herbal Bliss,842 N Summit Blvd Unit 13,Frisco,CO,80443,Recreational,39.5928612,-106.0941956
Herbal Healing,408 Fillmore St,Colorado Springs,CO,80907,Medical,38.8743043,-104.8145422
Herban Underground,70 N Broadway Unit 50,Denver,CO,80203,Undisclosed,39.7328098,-104.9874073
High Country Healing 4,1330 Garden of the Gods Rd,Colorado Springs,CO,80907,Medical,38.8765872,-104.8833333
High Country Healing,191 Blue River Pkwy Unit 202,Silverthorne,CO,80498,Undisclosed,39.6285798,-106.0709314
High Country Healing,40801 US-6 Unit 5,Vail,CO,81657,Undisclosed,39.630264,-106.414752
High Grade Specialists,608 Cloman Blvd Ste 1,Pagosa Springs,CO,81147,Recreational,37.516737,-105.219908
Higher Grade - Cherry Hills Medical,3480 S Galena St,Denver,CO,80231,Undisclosed,39.654018,-104.868777
Higher Grade - Downtown Recreational ,1269 Elati St,Denver,CO,80204,Undisclosed,39.7365638,-104.9943181
Higher Grade - Highlands Medical,3111 W 38th Ave,Denver,CO,80211,Undisclosed,39.7695967,-105.0280727
Highland Health,1505 Santa Fe Trail,Trinidad,CO,81082,Undisclosed,37.1574061,-104.5118732
High Level Health,970 Lincoln St,Denver,CO,80203,Undisclosed,39.7316169,-104.9860204
High Level Health,1620 Market St,Denver,CO,80202,Undisclosed,39.7499336,-104.9974844
High Level Health,2028 E Colfax Ave,Denver,CO,80206,Undisclosed,39.739911,-104.9630466
High Level Health,1221 County Rd 308,Dumont,CO,80452,Undisclosed,39.763874,-105.601479
High Plains Strainz,2506 Sixth Ave,Greeley,CO,80631,Undisclosed,40.396977,-104.687597
High Plains Strainz,17280 North Frontage Road,Log Lane Village,CO,80705,Undisclosed,40.2667713,-103.8257994
High Plains Strainz,114 1st Street,Sedgwick,CO,80749,Undisclosed,40.9345183,-102.523871
High Q,45 Snowmass Village Mall,Aspen,CO,81611,Recreational,39.169324,-106.776744
High Q,303 Main St,Carbondale,CO,81623,Undisclosed,39.4006042,-107.2101194
High Tops,1022 S Royer St,Colorado Springs,CO,80903,Medical,38.8195171,-104.8154896
High Tops,2306 N Powers Blvd,Colorado Springs,CO,80915,Medical,38.8623621,-104.720353
High Valley Healing,711 W US Hwy 160 Unit B,Alamosa,CO,81101,Medical,37.467184,-105.867273
High Valley Retail Cannabis,315 Main St,Antonito,CO,81120,Recreational,37.074187,-106.0088887
High Valley Retail Cannabis,60250 County Road T,Moffat,CO,81143,Undisclosed,37.9935538,-106.0274389
The Homestead,927 SH-3,Durango,CO,81301,Undisclosed,37.250981,-107.8700051
Igadl,171 Lawrence St,Central City,CO,80427,Recreational,39.800525,-105.5104698
Igadl,2818 Colorado Blvd,Idaho Springs,CO,80452,Recreational,39.7416729,-105.5001327
Igadl,1325 S Public Rd,Lafayette,CO,80026,Recreational,39.9875711,-105.0906369
Igadl,1655 Courtesy Rd,Louisville,CO,80027,Recreational,39.9860986,-105.128243
Igadl,150 N Jefferson St Unit B3,Nederland,CO,80466,Recreational,39.9633034,-105.5112739
Igadl,11919 Washington St,Northglenn,CO,80233,Recreational,39.9129332,-104.97831
Igadl,72399 US-40,Tabernash,CO,80478,Recreational,39.992589,-105.836964
Indispensary,3111 N Stone Ave Unit 100,Colorado Springs,CO,80907,Medical,38.8771716,-104.8153762
Jade Kola,3750 Astrozon Blvd Unit 140,Colorado Springs,CO,80910,Recreational,38.7959993,-104.7598586
